61009,769508,6.5,Dans Paris (2006),15 | 1h 32min | Drama/ Romance | 13 December 2007 (South Korea),"After a love affair ends badly, a young Parisian named Paul (Romain Duris) sinks into the same kind of deep depression that led his sister to kill herself. He moves back home with his father (Guy Marchand) and aimless brother Jonathan (Louis Garrel) but refuses to get out of bed. One night, Paul rises from his torpor and makes a fateful visit to the Seine."
61011,783608,5.8,The Walker (2007),R | 1h 48min | Crime/ Drama/ Mystery | 10 August 2007 (UK),"An escort who caters to Washington, D.C.'s society ladies becomes involved in a murder case."
61013,177507,7.6,Absolute Giganten (1999),1h 20min | Comedy/ Drama | 30 September 1999 (Germany),Three friends from Hamburg spend one last night on the town before one of them leaves the city forever.
61018,247613,7.7,Bakha satang (1999),18 | 2h 9min | Drama | 1 January 2000 (South Korea),Consists of five phases of a man's life about why he committed suicide in the end.
61024,910936,6.9,Pineapple Express (2008),18 | 1h 51min | Action/ Comedy/ Crime | 6 August 2008 (USA),A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.
61026,425637,7.4,Chi bi (2008),15 | 2h 14min | Action/ Adventure/ Drama | 10 July 2008 (South Korea),The first chapter of a two-part story centered on a battle fought in China's Three Kingdoms period (220-280 A.D.).
61031,76933,5.9,The World's Greatest Lover (1977),1h 29min | Comedy | 13 February 1978 (Denmark),"A neurotic baker travels to Hollywood to attend a talent search for an actor to rival the great Valentino. Although not an actor, through blind luck he succeeds, to a certain degree."
61035,804552,5.7,w Delta z (2007),R | 1h 44min | Crime/ Drama/ Horror | 22 February 2008 (UK),A calculating killer coerces a detective to pay for his previous mistakes.
61037,841925,7.2,Stellet Licht (2007),2h 25min | Drama/ Romance | 12 October 2007 (Mexico),"In a Mennonite community in Mexico, a father's faith is tested when he falls in love with a new woman."
61041,828158,5.8,The Take (2007),R | 1h 36min | Action/ Crime/ Drama | 12 September 2007 (Canada),"After he's shot during a heist in East L.A., an armored truck driver wrestles with rehabilitation and tracking down the man who committed the crime."
61071,1018785,6.2,The Sisterhood of the Traveling Pants 2 (2008),PG-13 | 1h 59min | Comedy/ Drama/ Romance | 6 August 2008 (USA),Four college freshmen and best friends find that it may take more than a shared pair of jeans to help them stay in touch as their lives go in different directions.
61073,411475,5.1,Hell Ride (2008),18 | 1h 24min | Action/ Drama/ Thriller | 26 August 2010 (South Korea),"Two rival bikers gangs, the Victors and the Six-Six-Six's, refuel their decades-old rivalry."
61075,974554,6.7,Elegy (2008),18 | 1h 52min | Drama/ Romance | 18 April 2008 (Spain),"Cultural critic David Kepesh finds his life, which he indicates is a state of 'emancipated manhood', thrown into tragic disarray by Consuela Castillo, a well-mannered student who awakens a sense of sexual possessiveness in her teacher."
61083,382053,6,The Good Humor Man (2005),R | 1h 52min | Drama/ Romance | 16 March 2005 (USA),A mischievous high school sophomore faces a conflict of conscience vs. character when his best friend becomes linked to the death of a youth from another clique in suburban Middle America circa '76.
61100,859765,7.3,San xia hao ren (2006),12 | 1h 51min | Drama/ Family | 14 June 2007 (South Korea),"A town in Fengjie county is gradually being demolished and flooded to make way for the Three Gorges Dam. A man and woman visit the town to locate their estranged spouses, and become witness to the societal changes."
61110,414426,6.2,Quid Pro Quo (2008),1h 22min | Drama/ Mystery/ Romance | 20 January 2008 (USA),A semi-paralyzed radio reporter is sent out to investigate a story that leads him into an odd subculture and on a journey of disturbing self-realization.
61116,69792,6.5,Black Caesar (1973),1h 27min | Action/ Crime/ Drama | 7 February 1973 (USA),"Raised in Harlem, Tommy Gibbs becomes a successful mob boss but he clashes with the rival Mafia and his old enemy, dirty cop McKinney."
61123,810900,5,High School Musical 2 (2007),12 | 1h 44min | Comedy/ Drama/ Family | TV Movie 17 August 2007,School's out for summer and the East High Wildcats are ready to make it the time of their lives after landing jobs in a wealthy country club owned by Sharpay and Ryan's family.
61132,942385,7,Tropic Thunder (2008),18 | 1h 47min | Action/ Comedy/ War | 10 December 2008 (South Korea),"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying."
61136,962711,5.5,The Objective (2008),15 | 1h 30min | Horror/ Sci-Fi/ Thriller | 20 July 2017 (South Korea),"A military special operations team, led by a CIA case officer, are on a mission in the harsh and hostile terrain of Afghanistan where they find themselves in a Middle Eastern 'Bermuda Triangle' of ancient evil."
61160,1185834,5.9,Star Wars: The Clone Wars (2008),All | 1h 38min | Animation/ Action/ Adventure | 4 September 2008 (South Korea),"After the Republic's victory on Christophsis, Anakin and his new apprentice Ahsoka Tano must rescue the kidnapped son of Jabba the Hutt. Political intrigue complicates their mission."
61167,1029120,6.4,Henry Poole Is Here (2008),PG | 1h 39min | Comedy/ Drama | 15 August 2008 (USA),"Henry Poole moves in to a house in his old neighborhood, to spend what he believes are his remaining days alone. The discovery of a 'miracle' by a nosy neighbor ruptures his solitude and restores his faith in life."
61206,809425,6.9,Dans la ville de Sylvia (2007),1h 24min | Drama | 14 September 2007 (Spain),A man returns to a city to try to track down a lovely woman he met six years earlier.
61210,490181,5.2,Mutant Chronicles (2008),18 | 1h 51min | Action/ Adventure/ Mystery | 8 January 2009 (South Korea),28th century soldier Mitch Hunter leads a fight against an army of underworld Mutants.
61215,883995,6.7,13 game sayawng (2006),18 | 1h 54min | Comedy/ Crime/ Drama | 5 October 2006 (Thailand),"After losing his job, his car and his money, Phuchit, Krissada Sukosol, races against time to complete 13 tasks ordered by an anonymous caller who promised 100,000,000 Thai Baht upon completion."
